2021-09-26 12:48:40,b'RT @ShareefPspk: 14 Days Run Lo Only AP 56cr \nCorona Time &amp; No Benefit Shows\n\nUstaaad @pawankalyan Massss Ramapage \xf0\x9f\x92\xa5\xf0\x9f\x94\xa5\xf0\x9f\xa4\x99'
2021-09-26 12:48:33,"b'RT @iamkeb_: Eunbi is asking the fans about the birthday cafe event.\n\n""I have something to ask! I want to go to cafe event but where should\xe2\x80\xa6'"
2021-09-26 12:48:26,"b'@narendramodi Corona and Indian Beurocrats, UnEducated Ministers have had spoiled Poor, deserving students, Rural I\xe2\x80\xa6 https://t.co/DY1mP3r9dA'"
2021-09-26 12:48:14,b'RT @ShareefPspk: 14 Days Run Lo Only AP 56cr \nCorona Time &amp; No Benefit Shows\n\nUstaaad @pawankalyan Massss Ramapage \xf0\x9f\x92\xa5\xf0\x9f\x94\xa5\xf0\x9f\xa4\x99'
2021-09-26 12:48:08,"b""@fizzy_pickles @ImArturoBandini @jimmy_dore You were basically blaming the south's lower vax % on the spread of cor\xe2\x80\xa6 https://t.co/c2mbM0Xd8x"""
2021-09-26 12:48:02,"b'RT @neomleis: Cinema halls opened, shopping malls opened, even state universities opened, so will Corona knock only in BHU?  Till now the i\xe2\x80\xa6'"
2021-09-26 12:48:02,"b'#MannKiBaat\nThe whole country is soon going to celebrate Dussehra, the victory of good over evil. Drawing inspirati\xe2\x80\xa6 https://t.co/XEtq5uERAu'"
2021-09-26 12:48:01,b'RT @ahindu_: No corona for such programs?'
2021-09-26 12:47:57,b'RT @btsanlang: In the wake of corona please think about nios students @niostwit @HRDMinistry #cancelniosexams'
2021-09-26 12:47:47,b'@yillenhoul C stands for\nCorona \xe2\x9d\x8e\nCilor \xe2\x9c\x85'
2021-09-26 12:47:46,"b'RT @Rai05prakriti: Cinema halls opened, shopping malls opened, even state universities opened, so will Corona knock only in BHU?  Till now\xe2\x80\xa6'"
2021-09-26 12:47:28,b'Nigerians Remember APC virus killed more people in Nigeria than corona virus. https://t.co/UEVdZnBNTq'
2021-09-26 12:47:21,b'RT @ssaurab50932994: Yeh log ke hisab se sirf UP mein covid tha Kerela mein toh sab accha chal raha tha yeh tab hai jab Kerela with a popul\xe2\x80\xa6'
2021-09-26 12:47:19,"b'#MannKiBaat\nThe whole country is soon going to celebrate Dussehra, the victory of good over evil. Drawing inspirati\xe2\x80\xa6 https://t.co/N8XS1Lz0Wj'"
2021-09-26 12:47:09,"b'RT @umesh6392: Cinema halls opened, shopping malls opened, even state universities opened, so will Corona knock only in BHU?  \n#ReopenBHUFo\xe2\x80\xa6'"
2021-09-26 12:47:00,"b'THE ONLY GOOD NEWS SINCE I STARTED DOING QLA DEALS, HAS BIN CORONA! WE HAVE MORE MOTIVATED SELLERS &amp; THE MEATHEADS\xe2\x80\xa6 https://t.co/5Sb1G3vWua'"
2021-09-26 12:46:42,"b'RT @littlexiunshine: I read a tweet from a kfan and they said that if it was not for corona, many overseas fan will see how good of a theat\xe2\x80\xa6'"
2021-09-26 12:46:27,"b'RT @littlexiunshine: I read a tweet from a kfan and they said that if it was not for corona, many overseas fan will see how good of a theat\xe2\x80\xa6'"
2021-09-26 12:46:17,b'@looneytoomes @laurenboebert Ask Fauci who sent virus examples and donated tax payers money to finance the Wuhan la\xe2\x80\xa6 https://t.co/RmYNJ3ELtq'
2021-09-26 12:46:05,"b'RT @littlexiunshine: I read a tweet from a kfan and they said that if it was not for corona, many overseas fan will see how good of a theat\xe2\x80\xa6'"
2021-09-26 12:45:54,b'inn porth nalle kaattind. but missed my beautiful September evenings and mornings due to work and corona. inn 26 aa\xe2\x80\xa6 https://t.co/uYmUYQom2X'
2021-09-26 12:45:51,"b'RT @umesh6392: Cinema halls opened, shopping malls opened, even state universities opened, so will Corona knock only in BHU?  \n#ReopenBHUFo\xe2\x80\xa6'"
2021-09-26 12:45:46,b'RT @CMOGuj: CM Shri @Bhupendrapbjp felicitated the winners of Travel &amp; Tourism Excellence Awards 2021 in 26 categories at a function organi\xe2\x80\xa6'
2021-09-26 12:45:46,b'tw\n\nomg stay what stay whats funny about corona stay https://t.co/8qoSqdxWh8'
2021-09-26 12:45:44,b'RT @UFOSculptor: Shot in the dark #COVID #Corona #CoronaVirus #virus #Moderna #Pfizer #health #vaccine #shot #aliens #dinosaur #dinosaurs #\xe2\x80\xa6'
2021-09-26 12:45:42,"b'Yoongi talking about Corona Blues is exactly why he is my bias, he rarely talks during interviews but when he does,\xe2\x80\xa6 https://t.co/4H18rPz4mW'"
2021-09-26 12:45:31,b'@zapiensalvador1 @TomiLahren @jparencibia9 Lies lies lies just like corona scam is a big lie'
2021-09-26 12:45:29,"b'@rohini_sgh Moron, clapping and ringing bells was a sign of showing gratitude to Corona warriors for their selfless\xe2\x80\xa6 https://t.co/0CR04CynTL'"
2021-09-26 12:45:25,"b'RT @umesh6392: Cinema halls opened, shopping malls opened, even state universities opened, so will Corona knock only in BHU?  \n#ReopenBHUFo\xe2\x80\xa6'"
2021-09-26 12:45:24,b'@JeanneLenzer1 @peoplesvaccine Can\xe2\x80\x99t wipe this one out. Animal reservoirs. Corona virus. Think \xe2\x80\x9cflu\xe2\x80\x9d \xe2\x80\x9ccommon cold\xe2\x80\x9d.\xe2\x80\xa6 https://t.co/8SaeqtLXzr'
2021-09-26 12:45:23,"b'RT @littlexiunshine: I read a tweet from a kfan and they said that if it was not for corona, many overseas fan will see how good of a theat\xe2\x80\xa6'"
2021-09-26 12:44:58,"b""Y'know the person you hate the most gives you corona cuz she s piece of vaccinated shit? And she s mad at you after you get it? Sweet."""
2021-09-26 12:44:57,"b'Cinema halls opened, shopping malls opened, even state universities opened, so will Corona knock only in BHU?\xe2\x80\xa6 https://t.co/DbAxI6B6Rw'"
2021-09-26 12:44:56,b'RT @ShareefPspk: 14 Days Run Lo Only AP 56cr \nCorona Time &amp; No Benefit Shows\n\nUstaaad @pawankalyan Massss Ramapage \xf0\x9f\x92\xa5\xf0\x9f\x94\xa5\xf0\x9f\xa4\x99'
2021-09-26 12:44:54,"b'RT @anilguptabjp2: #MannKiBaat\nThe whole country is soon going to celebrate Dussehra, the victory of good over evil. Drawing inspiration fr\xe2\x80\xa6'"
2021-09-26 12:44:33,b'RT @ArchanSaxena: @Dev85186752 @MoHFW_INDIA @nhm_up @myogiadityanath @moayush @News18UP @jpbansi @DrRajeshJha1 @ChiefSecyUP Absolutely rt.\xe2\x80\xa6'
2021-09-26 12:44:25,b'Corona wave 3 https://t.co/583kTrgNLE https://t.co/osqOMpr3hp'
2021-09-26 12:44:23,"b""RT @KiranKS: August over. September almost over.\nIndia's Corona case load is the lowest now in 180+ days. \nVaccination rate best in the wor\xe2\x80\xa6"""
2021-09-26 12:44:19,b'RT @CMOGuj: CM Shri @Bhupendrapbjp felicitated the winners of Travel &amp; Tourism Excellence Awards 2021 in 26 categories at a function organi\xe2\x80\xa6'
2021-09-26 12:44:14,"b'RT @Rai05prakriti: Cinema halls opened, shopping malls opened, even state universities opened, so will Corona knock only in BHU?  Till now\xe2\x80\xa6'"
2021-09-26 12:43:56,b'RT @Subhash44690696: respected Sir\n@NarendraModi Ji \n@mansukhmandviya Ji \nPlease #SMA save the kids\nIn India also SMA medicine should be ma\xe2\x80\xa6'
2021-09-26 12:43:48,"b'The more tinder dates ya go on, the more you realise how much value your exes get. I hate corona dating. Humans suc\xe2\x80\xa6 https://t.co/OFj9g7cIrP'"
2021-09-26 12:43:46,"b'RT @neomleis: Cinema halls opened, shopping malls opened, even state universities opened, so will Corona knock only in BHU?  Till now the i\xe2\x80\xa6'"
2021-09-26 12:43:42,b'Iranian health: more than 13 thousand cases and 288 new deaths from corona\n https://t.co/zFcakli1kt https://t.co/af0RFWzkAX'
2021-09-26 12:43:28,b'RT @SANunvrse: [210925] 9:51PM KST\n\nall our tinys thank you so much\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f \n\ni wished to go up on billboard charts too\n\ni\xe2\x80\x99m so happy these day\xe2\x80\xa6'
2021-09-26 12:43:24,"b'RT @jtoni_n: \xe2\x80\x9cwhen you walk through a tunnel, you need at least a little light at the end to lead the way out. as we watched all our events\xe2\x80\xa6'"
2021-09-26 12:43:14,"b""RT @SamraatD: Under @INCPunjab Govt Rs 3000 were transferred to the Construction Workers account so that they don't feel scared in an emerg\xe2\x80\xa6"""
2021-09-26 12:42:53,b'PLEASE CORONA GET THE HELL OUT. WE DESERVE LIVE PERFORMANCE OF MY UNIVERSE!!!!!!!!!!!!!!!!!!'
2021-09-26 12:42:41,b'RT @DrlathaC: Corona virus fears political large and blisterous crowd.'
2021-09-26 12:42:40,b'RT @SamraatD: Under the @INCPunjab Govt Punjab became the 1st state with 90% recover rate from Corona #AaRahiHaiCongress https://t.co/Nu6kN\xe2\x80\xa6'
2021-09-26 12:42:37,b'@RafiDAngelo They also embolden criminals and are terrible for the environment and after mask mandates are issued c\xe2\x80\xa6 https://t.co/xRmr45byK9'
2021-09-26 12:42:24,b'@AcMagnolia @IndianaBeliever @DaveJohn0175 @KuikenAndrew @cwt_news Im telling you how mortality rates are figured o\xe2\x80\xa6 https://t.co/0x4NFFrhNn'
2021-09-26 12:42:22,"b""RT @SamraatD: Under @INCPunjab Govt Rs 3000 were transferred to the Construction Workers account so that they don't feel scared in an emerg\xe2\x80\xa6"""
2021-09-26 12:42:18,b'RT @GeorgiaLogCabin: FL surgeon general opposes corona virus mandates https://t.co/gVN4mZrTQo'
2021-09-26 12:42:18,"b'@aproko_doctor Mehnnnn, something I was buying about 1k7 during corona period ,things are getting more expensive by the day'"
2021-09-26 12:42:08,"b'RT @neomleis: Cinema halls opened, shopping malls opened, even state universities opened, so will Corona knock only in BHU?  Till now the i\xe2\x80\xa6'"
2021-09-26 12:41:50,"b""@JohannaVOrlean @FergalLenehan They are in use since the mid 80's, and have saved numerous lifes since then. But he\xe2\x80\xa6 https://t.co/8qGgYpRLe8"""
2021-09-26 12:41:40,"b'Dear Chahal Sir,our HIGHLAND 4,LOKHANDWALA TOWNSHIP,KANDIVALI EAST WAS SEALED since there were 5 corona cases in on\xe2\x80\xa6 https://t.co/0ojkFNtCOI'"
2021-09-26 12:41:37,"b'RT @neomleis: Cinema halls opened, shopping malls opened, even state universities opened, so will Corona knock only in BHU?  Till now the i\xe2\x80\xa6'"
2021-09-26 12:41:32,"b'Cinema halls opened, shopping malls opened, even state universities opened, so will Corona knock only in BHU?  Till\xe2\x80\xa6 https://t.co/99t2OTs2nS'"
2021-09-26 12:41:21,"b'RT @Elbandi_: \xf0\x9f\x87\xa9\xf0\x9f\x87\xaaIn #Hamburg, a 60 yo Jew was beaten to hospital by young men shouting ""Fuck Israel"". A few weeks ago, a boy wearing a kippa\xe2\x80\xa6'"
2021-09-26 12:41:00,"b'So, I picked up playing discgolf during Corona. And today had my first tournament. Flabbergasted to say I won my di\xe2\x80\xa6 https://t.co/FbMTBYkbgz'"
2021-09-26 12:40:51,"b'RT @Rai05prakriti: Cinema halls opened, shopping malls opened, even state universities opened, so will Corona knock only in BHU?  Till now\xe2\x80\xa6'"
2021-09-26 12:40:48,"b'RT @Rai05prakriti: Cinema halls opened, shopping malls opened, even state universities opened, so will Corona knock only in BHU?  Till now\xe2\x80\xa6'"
2021-09-26 12:40:34,"b'RT @HPVSideEffects: That\'s how they protest in Switzerland against the Corona virus restrictions! ""Mass Voll!""'"
2021-09-26 12:40:26,"b'RT @Rai05prakriti: Cinema halls opened, shopping malls opened, even state universities opened, so will Corona knock only in BHU?  Till now\xe2\x80\xa6'"
2021-09-26 12:40:24,"b'RT @Rai05prakriti: Cinema halls opened, shopping malls opened, even state universities opened, so will Corona knock only in BHU?  Till now\xe2\x80\xa6'"
2021-09-26 12:40:19,"b'Cinema halls opened, shopping malls opened, even state universities opened, so will Corona knock only in BHU?  Till\xe2\x80\xa6 https://t.co/o6Sbchefzg'"
2021-09-26 12:40:12,"b'RT @HPVSideEffects: That\'s how they protest in Switzerland against the Corona virus restrictions! ""Mass Voll!""'"
2021-09-26 12:40:06,b'RT @PVishnukant: Even #SupremeCourt admired &amp; appreciated efforts by Central Govt able &amp; efficiently led by Hon PM Shri @narendramodi ji ha\xe2\x80\xa6'
2021-09-26 12:40:05,b'Dear sir..my family at staying below poverty line family..sir memu new home construction cheskunnam 2017 lo 15lakhs\xe2\x80\xa6 https://t.co/saolrCGIhP'
